Buschor Ernst;Controlling als Führungsinstrument in der Verwaltung;3-7890-1450-8;129-134;Druckerzeugnis;37960.35972;In: Koch-Rainer- und andere: Verwaltungsforschung in Perspektive;Haupt-Bibliothek;-;Baden-Baden;Nomos;-;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Die Umwelt im kapitalistischen System;Ökonomische und gesellschaftspolitische Aspekte des Umweltschutzes;3.492.01987.0;124-141;Druckerzeugnis;37960.35972;In: Glagow-Manfred (Hrsg.): Umweltgefährdung und Gesellschaftssystem, S. 124 ff.;Haupt-Bibliothek;-;München;Piper & Co. Verlag;-;0;YY;0;0;Wirtschaftswissenschaften;Regionale Wirtschaftspolitik. Stadtplanung;0
Donnison David;Planning and Government;-;93-113;Druckerzeugnis;37960.35972;In: Cowan-Peter: The Future of Planning;Haupt-Bibliothek;-;-;-;-;0;YL2;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Sdorra Heinz;Verwaltung und Operations Research;0;233;Druckerzeugnis;38360;unter besonderer Berücksichtigung der verwaltungsbetriebswirtschaftlichen Komponente der Verwaltungslehre.;Haupt-Bibliothek;EA 113;Hamburg;0;1966;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Departement des Innern des Kantons St.Gallen;St.Galler Gemeindefinanzen 1987;-;79;Druckerzeugnis;37960.35972;0;Haupt-Bibliothek;YL3 014;St.Gallen;Departement des Innern;1989;0;YL3;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Finanzwirtschaft untergeordneter Gebietskörperschaften
Schönbäck Wilfried;Subjektive Unsicherheit als Gegenstand staatlicher Intervention;3.593.32681.7;109;Druckerzeugnis;37960.35972;0;Haupt-Bibliothek;AK 1050;Frankfurt/New York;Campus Verlag;1980;0;YC;0;0;Wirtschaftswissenschaften;Wirtschaftstheorie, einschliesslich Geldtheorie;0
Rolph Earl R.;The Theory of Fiscal Economics;0;302;Druckerzeugnis;37960.35972;0;Haupt-Bibliothek;AA 109;Berkeley and Los Angeles;University of California Press;1956;0;YB;0;0;Wirtschaftswissenschaften;Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik;0
OECD;The personal income tax base - A comparative survey;92 64 13368 2;264;Druckerzeugnis;38023;0;Haupt-Bibliothek;KA 339;Paris;OECD;1990;0;KA;0;0;Ausländisches Steuerrecht;Staatenverbände, Staatengruppen;0
Büchel Dominik/Künzle Daniel;Vorschläge für eine qualifikationsorientierte Regionalpolitik;3.7281.1788.9;166;Druckerzeugnis;38322;Weiterbildungsmassnahmen für Regionen und Betriebe;Haupt-Bibliothek;AJ 367;Zürich;Institut für ORL;1990;0;YY;0;0;Wirtschaftswissenschaften;Regionale Wirtschaftspolitik. Stadtplanung;0
Mair Helmut;Wohnungsnot und soziale Arbeit Zur Geschichte eines aktuellen Themas;3.8100.1081.2;11628;Druckerzeugnis;37960.35972;In: Mair-Helmut (Hrsg.): Wohnen und soziale Arbeit;Haupt-Bibliothek;-;Opladen;Leske + Budrich Hohmeier-Jürgen;-;0;YX;0;0;Wirtschaftswissenschaften;Sozialpolitik. Gesundheitswesen. Bildungsökonomie;0
Peat Marwick Mitchell;Taxation of Intercompany Transactions in Selected Countries in Europe;-;115;Druckerzeugnis;37960.35972;0;Haupt-Bibliothek;KA 321;-;Peat, Marwick, Mitchell & Co.;1978;0;KA;0;0;Ausländisches Steuerrecht;Staatenverbände, Staatengruppen;0
Portsmann Reiner;Wissenschaftstheoretische Grundfragen in den Wirtschaftswissenschaften;3.428.05917.4;263;Druckerzeugnis;37960.35972;Kritischer und systematischer Vergleich von Wissenschaftsprogrammen und ihren Realisierungen- Teil I: Problemlage und Auswahlkriterien;Haupt-Bibliothek;AK 1136;Berlin;Duncker & Humblot;1986;0;YC;0;0;Wirtschaftswissenschaften;Wirtschaftstheorie, einschliesslich Geldtheorie;0
Albers Willi/Weise Herbert;Wettbewerbsverschiebungen durch die unterschiedliche Steuerbelastung von Produktionsmitteln in der europäischen Integration;0;399 + Tabellen;Druckerzeugnis;37960.35972;Festschrift für Erich Schneider zum 60. Geburtstag;Haupt-Bibliothek;CA 125;Kiel;Schmidt & Klaunig;1960;0;YL7;YL8;YL9;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder-	Betriebswirtschaftliche Steuerlehre"
Reed P. W.;The Economics of Public Enterprise;0 408 70452 7;235;Druckerzeugnis;37960.35972;0;Haupt-Bibliothek;EF 152;London;Butterworths;1973;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Iselin Georg/u.a.;Von der Vollzugsbürokratie zum politischen Management;0;106;Druckerzeugnis;37960.35972;Tagung SGVM vom 15.4.1988 Schriftenreihe der SGVW;Haupt-Bibliothek;EH 115;Bern;SGVW;1989;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Rowley Charles K.;Readings in Industrial Economics;333.10951.1 (hard cover);262;Druckerzeugnis;37960.35972;Theoretical Foundations;Haupt-Bibliothek;AK 0166 1;London and Basingstoke;The Macmillan Press Ltd;1972;0;YC;0;0;Wirtschaftswissenschaften;Wirtschaftstheorie, einschliesslich Geldtheorie;0
Lindencrona Gustaf;Trends in Scandinavian Taxation;90 200 0584 7;46;Druckerzeugnis;37960;0;Haupt-Bibliothek;KA 314;Deventer/Boston/Antwerpen/London/Frankfurt;Kluwer;1979;0;KA;0;0;Ausländisches Steuerrecht;Staatenverbände, Staatengruppen;0
Tullock Gordon;Trials on Trial;0.231.04952.8;250;Druckerzeugnis;38099;The Pure Theory of Legal Procedure;Haupt-Bibliothek;WD 176;New York;Columbia University Press;1980;0;WD;0;0;Uebrige Literatur;Diverse Gebiete, Umweltschutz;0
Tollison R./Willett T.;A Defense of the CEA as an Instrument for Giving Economic Policy Advice;"0-8014-9860-0 (paperback) 0-8014-0914-4 (cloth)";520-524;Druckerzeugnis;37960.35972;In: Amacher Ryan C./Tollison Robert D: The Economic Approach to Public Policy;Haupt-Bibliothek;-;London;Cornell University Press;-;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Nawiasky Hans/u.a.;Wirtschaftliche Betriebe der Gemeinden;0;109;Druckerzeugnis;37960.35972;Wasser/Gas/Elektrizität/Verkehr/Kreditinstitut/Schlachthöfe Die Betriebe im Gemeindehaushault;Haupt-Bibliothek;EC 102;Einsiedeln;Benziger;1953;0;YL3;YQ;0;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Spezielle Betriebswirtschaftslehren";Finanzwirtschaft untergeordneter Gebietskörperschaften
Dales J. H.;Umweltschutz als ökonomisches Problem;3.492.01987.0;172-180;Druckerzeugnis;37960.35972;In: Glagow-Manfred (Hrsg.): Umweltgefährdung und Gesellschaftssystem, S. 172 ff.;Haupt-Bibliothek;-;München;Piper & Co. Verlag;-;0;YY;0;0;Wirtschaftswissenschaften;Regionale Wirtschaftspolitik. Stadtplanung;0
United Nations;Yearbook of National Accounts Statistics 1966;0;647;Druckerzeugnis;37960.35972;0;Haupt-Bibliothek;AE 112;New York;United Nations;1967;0;YJ;0;0;Wirtschaftswissenschaften;Volkswirtschaftliches Rechnungswesen. Sonstiges, einzelnen Gruppen nicht zuweisbares statistisches Material;0
Mitchell William E.;The effectiveness of debt limits on state and local government borrowing;0;53;Druckerzeugnis;37874;0;Separata;DA Sep. 01;0;0;1967;0;YL2;YL7;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;"Haushaltsaufstellung, -verwaltung und -kontrolle-	Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder"
Baer Charlotte M.;Vom Gesellschafts- zum Konzernrecht;3-258-06148-3;218;Druckerzeugnis;37960.35972;0;Haupt-Bibliothek;WC 108;Bern / Stuttgart / Wien;Verlag Paul Haupt;2000;0;WC;0;0;Uebrige Literatur;Privatrecht;0
Swerdlow Irving;The Public Administration of Economic Development;0.275.07530.3;407;Druckerzeugnis;38360;0;Haupt-Bibliothek;AG 259;London;Praeger Publishers;1975;0;YN;0;0;Wirtschaftswissenschaften;Konjunkturschwankungen, Stabilitätspolitik;0
Weibel Peter;Zusammenschluss-Umwandlung und Teilung von Kapitalgesellschaften und Genossenschaften gemäss aargauischem Aktiensteuerrecht;0;111;Druckerzeugnis;37960;Dissertation der Uni Zürich;Haupt-Bibliothek;PL 215;0;0;1975;0;PL;0;0;Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern;Gewinnsteuer der Kapitalgesellschaften;0
Lewis Alan;The Psychology of Taxation;0.85520.412.5;236;Druckerzeugnis;37874;0;Haupt-Bibliothek;CE 118;Oxford;Martin Robertson;1982;0;YL7;YL8;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder"
Andersen Arthur & Co.;Tax and Trade Guide Switzerland;0;170;Druckerzeugnis;37960;0;Haupt-Bibliothek;JA 111;0;Arthur Andersen & Co.;1965;0;JA;0;0;Allgemeine Steuerrechtsliteratur;Allgemeines, Lehrbücher;0
Blumenstein Ernst/Locher Peter;System des schweizerischen Steuerrechts;3 7255 4342 9;554;Druckerzeugnis;37960.35972;6. A.;HB Steuerrecht;JA 103 6;Zürich;Schulthess Juristische Medien AG;2002;0;JA;0;0;Allgemeine Steuerrechtsliteratur;Allgemeines, Lehrbücher;0
Kommission für Konjunkturfragen;Ziele-Mittel und Träger der Konjunkturpolitik;0;43;Druckerzeugnis;38360;Grundlegung und Vorschlag eines neuen Verfassungsartikels für Massnahmen zur Stabilisierung der Wirtschaft;Separata;AG Sep. 50;Bern;Schweiz. Handelsamtsblatt;1972;0;YN;0;0;Wirtschaftswissenschaften;Konjunkturschwankungen, Stabilitätspolitik;0
Hunkeler Urs;Zur Belastung der Klein- und Mittelbetriebe durch staatliche Regelungen - Untersuchung der administrativen Auflagen in der Schweiz;0;261;Druckerzeugnis;37960.35972;Dissertation der HSG, Nr. 947, 1985;Haupt-Bibliothek;AK 0461;Bamberg;Difo-Druck;1985;0;YB;0;0;Wirtschaftswissenschaften;Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik;0
Solow R.;Science and Ideology in Economics;"0-8014-9860-0 (paperback) 0-8014-0914-4 (cloth)";67-79;Druckerzeugnis;37960.35972;In: Amacher-Ryan C- Tollison-Robert D: The Economic Approach to Public Policy;Haupt-Bibliothek;-;London;Cornell University Press;-;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Schwarz Gunther;Unternehmungskultur als Element des Strategischen Managements;3.428.06754.1;276;Druckerzeugnis;38300;Betriebswirtschaftliche Forschungsergebnisse, Bd. 92;Haupt-Bibliothek;WA 312;Berlin;Duncker & Humblot;1989;0;YP;0;0;Wirtschaftswissenschaften;Allgemeine Betriebswirtschaftslehre;0
Bannock Graham;Taxation in the European Community - The Small Business Perspective;1 85396 113 2;130;Druckerzeugnis;37960;0;Haupt-Bibliothek;KA 148;London;Paul Chapman Publishing Ltd.;1990;0;KA;0;0;Ausländisches Steuerrecht;Staatenverbände, Staatengruppen;0
Ruttkay Frano;The First Credit Co-operative Society in Europe;0;49;Druckerzeugnis;38236;0;Separata;AK Sep. 423;Prague;Central Co-operative Council;1970;0;YR;0;0;Wirtschaftswissenschaften;Gewerbepolitik. Einzelne Wirtschaftszweige;0
Albach Horst-Beckmann Martin;Zur Reform der direkten Steuern;3.409.37431.0;34;Druckerzeugnis;37960.35972;0;Haupt-Bibliothek;CA 160;Wiesbaden;Betriebswirtschaftlicher Verlag Dr. Th. Gabler;1970;0;YL7;YL8;YL9;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder-	Betriebswirtschaftliche Steuerlehre"
Frerk Peter;Wirtschaftlichkeit öffentlicher Investitionen;0;78;Druckerzeugnis;37960.35972;0;Haupt-Bibliothek;BA 104;Köln, Berlin;Grote;1967;0;YL1;YL2;YL7;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;"Allgemeines-	Haushaltsaufstellung, -verwaltung und -kontrolle-	Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder"
Bürgisser-Peters Petra;Verteilungswirkungen der staatlichen Altersvorsorge in der Schweiz;3.7255.2083.6;312;Druckerzeugnis;38360;0;Haupt-Bibliothek;AF 194;Zürich;Schulthess Polygraphischer Verlag;1982;0;YX;0;0;Wirtschaftswissenschaften;Sozialpolitik. Gesundheitswesen. Bildungsökonomie;0
Weber-Fas Rudolf;Verfassungsrechtsprechung zum Steuerrecht - Die Entscheidungen des Bundesverfassungsgerichts der Bundesrepublik Deutschland - Bd. III;3 415 00458 9;449;Druckerzeugnis;37960.35972;0;Haupt-Bibliothek;JD 111 4;Stuttgart;Richard Boorberg Verlag;1976;0;JD;0;0;Allgemeine Steuerrechtsliteratur;Grundsätze der Rechtsanwendung;0
Koellreuter Christoph;Zur Theorie der internationalen Steuerinzidenz Ein neoklassischer und ein postkeynesianischer Beitrag;3.7255.1500.X;201;Druckerzeugnis;37960.35972;Basler Dissertation;Haupt-Bibliothek;CE 120;Zürich;Schulthess Polygraphischer Verlag;1973;0;YL7;YL8;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder"
Bombach Gottfried;"Wirtschaft und Bevölkerung im Kanton Aargau 1985";0;10;Druckerzeugnis;38097;Resumée des Gutachtens der PROGNOS AG Basel;Separata;AJ Sep. 08;Basel;Prognos AG;1965;0;YY;0;0;Wirtschaftswissenschaften;Regionale Wirtschaftspolitik. Stadtplanung;0
Buchholz Edwin H.;Zwang zur Freiheit;3.16.339902.9;162;Druckerzeugnis;37960.35972;Verbände, Staat, Individuum;Haupt-Bibliothek;AK 0199;Tübingen;J. C. B. Mohr (Paul Siebeck);1977;0;YB;0;0;Wirtschaftswissenschaften;Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik;0
Downs George W./Larkey Patrick D.;The Search for Government Efficiency;0-394-35213-0;268;Druckerzeugnis;37960.35972;0;Haupt-Bibliothek;EG 152;New York;Radnom House;1986;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Jegge Dieter Schwaar Kar;Warm-up für New Public Management;3-258-05255-7;129-146;Druckerzeugnis;37960.35972;In: Hablützel-Peter- Haldemann-Theo- Schedler-Kuno- Schwaar-Karl: Umbruch in Politik und Verwaltung Vier Jahre Personal- und Organisationsentwicklung in der schweizerischen Bundesverwaltung;Haupt-Bibliothek;-;Bern;Paul Haupt;-;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Salisbury Richard F.;Vunamami Economic Transformation in a Traditional Society;0;382;Druckerzeugnis;37960.35972;0;Haupt-Bibliothek;AK 0527;Berkeley and Los Angeles;University of California Press;1970;0;YM;0;0;Wirtschaftswissenschaften;Internationaler Handel. Zahlungsbilanz und Wechselkurse;0
Krelle Wilhelm;Erich Preisers Wachstums- und Konjunkturtheorie als einheitliche dynamische Theorie;3.922016.17.0;235-254;Druckerzeugnis;37960.35972;In: Mückl Wolfgang J., Ott Alfred E. (Hrsg.): Wirtschaftstheorie und Wirtschaftspolitik;Haupt-Bibliothek;-;Passau;Passavia Universitätsverlag;-;0;YB;0;0;Wirtschaftswissenschaften;Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik;0
Ewringmann Dieter/Hansmeyer Karl-Heinrich;Zur Beurteilung von Subventionen;3.531.02468.X;165;Druckerzeugnis;38322;Forschungsberichte des Landes NRW, Nr. 2468;Haupt-Bibliothek;BC 222;Opladen;Westdeutscher Verlag;1975;0;YL7;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder
Williamson Oliver E.;The Economic Institutions of Capitalism;0.02.934820.X;408;Druckerzeugnis;37960.35972;Firms, Markets, Relational Contracting;Haupt-Bibliothek;AK 1185;New York;The Free Press;1985;0;YC;0;0;Wirtschaftswissenschaften;Wirtschaftstheorie, einschliesslich Geldtheorie;0
Kahn Alfred E.;The Economics of Regulation: Principles and Institutions - Vol. 1;0.471.45430.3;200;Druckerzeugnis;37960.35972;Vol. 1: Principles;Haupt-Bibliothek;AK 0170 1;New York;John Wiley & Sons, Inc.;1970;0;YC;0;0;Wirtschaftswissenschaften;Wirtschaftstheorie, einschliesslich Geldtheorie;0
Hagemann Harald/Jeck Albert;Wachstum und Einkommensverteilung. Strukturanalyse auf der Basis eines dreisektoralen Modells vom Lowe-Feldmann-Dobb-Typ;3.922016.17.0;99-124;Druckerzeugnis;37960.35972;In: Mückl Wolfgang J., Ott Alfred E. (Hrsg.): Wirtschaftstheorie und Wirtschaftspolitik;Haupt-Bibliothek;-;Passau;Passavia Universitätsverlag;-;0;YB;0;0;Wirtschaftswissenschaften;Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik;0
Staatskanzlei Obwalden;Verwaltungsentscheide des Kantons Obwalden 1966-1970;-;236;Druckerzeugnis;37916;0;Haupt-Bibliothek;HB 206 01;Sarnen;Staatskanzlei Obwalden;1971;0;HB;0;0;Schweizerische Steuer-Gesetzgebung und -Judikatur;Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone);0
Brugger Ernst A./Kärcher Thomas;Weltstädte - Schweizer Städte;3.907118.06.5;71;Druckerzeugnis;38322;Die Funktion schweizerischer Grossstädte im Weltwirtschafltichen Kontext;Haupt-Bibliothek;AJ 370;Zürich;NFP 'Stadt und Verkehr';1992;0;YY;0;0;Wirtschaftswissenschaften;Regionale Wirtschaftspolitik. Stadtplanung;0
Oppenländer Karl Heinrich;Autonome Investitionen-technischer Fortschritt und wirtschaftliches Wachstum;3.922016.17.0;377-388;Druckerzeugnis;37960.35972;In: Mückl Wolfgang J., Ott Alfred E. (Hrsg.): Wirtschaftstheorie und Wirtschaftspolitik;Haupt-Bibliothek;-;Passau;Passavia Universitätsverlag;-;0;YB;0;0;Wirtschaftswissenschaften;Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik;0
Schelhammer Carlo Luigi;Wandlungen im Wirtschaftssystem der Deutschen Demokratischen Republik-insbesondere die Frage seiner Annäherung an die Marktwirtschaft;0;216;Druckerzeugnis;38097;Dissertation der HSG, Nr. 404, 1971;Haupt-Bibliothek;AK 0147;St. Gallen;Buchdruckerei H. Tschudy & Co. AG;1971;0;YC;0;0;Wirtschaftswissenschaften;Wirtschaftstheorie, einschliesslich Geldtheorie;0
Zeppernick Ralf;Zur Rolle des Staates in der Sozialen Marktwirtschaft;3.16.345210.8;71;Druckerzeugnis;37960.35972;0;Haupt-Bibliothek;AK 1178;Tübingen;J.C.B. Mohr (Paul Siebeck);1987;0;YC;0;0;Wirtschaftswissenschaften;Wirtschaftstheorie, einschliesslich Geldtheorie;0
Sasseville Jacques;The Future of the OECD Model Tax Convention;-;S. 41 - 58;Druckerzeugnis;37960.35972;In: Lang, Michael, Gassner, Wolfgang & u. a., (Hrsg.): Die Zukunft des Internationalen Steuerrechts;Haupt-Bibliothek;-;Wien;Linde Verlag Wien Ges.m.b.H.;-;0;LC;0;0;Interkantonales/Internationales Steuerrecht;Internationales Steuerrecht;0
OECD;The Tax/Benefit Position of Selected Income Groups in OECD Member Countries 1972-1976;0;126;Druckerzeugnis;38092;A Report by the Committee on Fiscal Affairs;Haupt-Bibliothek;AH 170;Paris;OECD;1978;0;YV;0;0;Wirtschaftswissenschaften;Arbeitnehmerfragen (Labor Economics);0
Grabow Busso/Henckel Dietrich/Hollbach-Grömig Beate;Weiche Standortfaktoren;3-17-013734-4;407;Druckerzeugnis;37960.35972;Eine Untersuchung zu harten und weichen Standortfaktoren;Haupt-Bibliothek;AJ 383 1;Stuttgart / Berlin / Köln;W. Kohlhammer/Deutscher Gemeindeverlag;1995;0;YY;0;0;Wirtschaftswissenschaften;Regionale Wirtschaftspolitik. Stadtplanung;0
MacAvoy Paul W.;The Crisis of the Regulatory Commissions;0.393.05409.8 0.393.09897.4;210;Druckerzeugnis;37960.35972;An introduction to a current issue of public policy;Haupt-Bibliothek;AK 1005;New York;W. W. Norton & Co. Inc.;1970;0;YC;0;0;Wirtschaftswissenschaften;Wirtschaftstheorie, einschliesslich Geldtheorie;0
Leuch Christoph/Kästli Peter/Langenegger Markus;Praxis-Kommentar zum Berner Steuergesetz - Bd. 2;978-3-85621-201-8;1008;Druckerzeugnis;40816.62847;Artikel 126 bis 293;HB Steuerrecht;JC 226 2;Muri-Bern;Cosmos Verlag AG;2011;0;JC;0;0;Allgemeine Steuerrechtsliteratur;Schweizerische Kommentare und Handbücher;0
Watrin Christian;Struktur- und stabilitätspolitische Probleme in alternativen Wirtschaftssystemen;3.428.03167.9;161;Druckerzeugnis;38360;0;Haupt-Bibliothek;AG 225;Berlin;Duncker & Humblot;1974;0;YN;0;0;Wirtschaftswissenschaften;Konjunkturschwankungen, Stabilitätspolitik;0
Staatsministerium Baden-Württemberg;Verwaltungsreform in Baden-Württemberg;0;158;Druckerzeugnis;37960.35972;Erster Bericht der Regierungskommission Verwaltungsreform;Haupt-Bibliothek;EG 181 1;Oberndorf/Stuttgart;Schwarzwälder Druckhaus;1993;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Knoepfel Peter;Vorprogrammierte Enttäuschungen oder politische Flurschäden;3-258-05255-7;453-470;Druckerzeugnis;37960.35972;In: Hablützel-Peter- Haldemann-Theo- Schedler-Kuno- Schwaar-Karl: Umbruch in Politik und Verwaltung Eine Kritik aus der Sicht der Politikanalyse;Haupt-Bibliothek;-;Bern;Paul Haupt;-;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
